date,ticker,action,score,entry,stop,target,exit_price,exit_reason,exit_day,gross_pct,net_pct,spy_leg_pct,size_mult,mr_trigger,quality_score,mfe_pct,atr_pct,days_to_earnings,days_since_earnings,dow,trin,ad_ema10_chg,zweig_thrust,near_52wk_low,vix_entry,spy_trend_entry,ibs_entry,change_pct_entry,year
2011-03-01,GOOG,BUY,64.8,14.82,14.44,15.32,14.62,time_loss,3,-1.357,-1.857,,,multi,49.2,1.949,1.69,70.0,123.0,1,,,False,False,21.01,1,0.073,-2.061,2011
2019-10-02,GOOG,BUY,56.64,58.52,56.83,60.77,59.89,adaptive,2,2.346,1.846,,,multi,53.1,3.238,1.93,27.0,68.0,2,,,False,False,20.56,1,0.208,-2.362,2019
2019-08-05,META,BUY,58.04,182.26,174.18,193.03,188.68,adaptive,2,3.522,3.022,,,multi,39.2,3.62,2.96,,,0,,,False,False,24.59,1,0.378,-3.857,2019
2010-01-25,AMZN,BUY,51.04,6.03,5.73,6.42,6.3,adaptive,2,4.537,4.037,,,multi,34.0,5.508,3.28,88.0,94.0,0,,,False,False,25.41,1,0.526,-0.922,2010
2018-10-10,AMZN,BUY,54.64,86.2,82.39,91.29,91.29,target,4,5.9,5.4,,,multi,34.1,7.019,2.95,16.0,75.0,2,,,False,False,22.96,0,0.008,-6.152,2018
2009-11-03,INTC,BUY,58.04,12.05,11.54,12.73,12.6,adaptive,3,4.567,4.067,,,multi,50.7,4.567,2.84,181.0,1.0,1,,,False,False,28.81,1,0.559,-2.683,2009
2011-08-02,INTC,BUY,52.64,14.8,14.28,15.48,14.27,stop,1,-3.564,-4.064,,,multi,36.9,1.713,2.31,6.0,85.0,1,,,False,False,24.79,0,0.021,-2.338,2011
2014-10-13,INTC,BUY,50.04,24.38,23.41,25.68,23.24,stop,1,-4.676,-5.176,,,multi,42.8,2.126,2.65,16.0,80.0,0,,,False,False,24.64,0,0.0,-1.379,2014
2010-05-05,AMD,BUY,54.64,8.58,7.95,9.42,7.94,stop,0,-7.479,-7.979,,,multi,34.6,1.632,4.92,91.0,,2,,,False,False,24.91,1,0.434,-1.152,2010
2019-08-05,AMD,BUY,58.04,28.86,26.86,31.52,31.52,target,2,9.232,8.732,,,multi,43.6,18.746,4.62,86.0,5.0,0,,,False,False,24.59,1,0.405,-4.925,2019
2026-02-05,AMD,BUY,55.08,197.13,176.17,225.08,200.15,time,10,1.532,1.032,,,multi,36.5,11.424,7.09,90.0,92.0,3,,,False,False,21.77,1,0.134,-3.841,2026
2011-06-15,QCOM,BUY,52.64,36.87,35.65,38.5,35.62,stop,2,-3.406,-3.906,,,multi,38.8,0.333,2.21,35.0,56.0,2,,,False,False,21.32,0,0.17,-2.663,2011
2019-08-06,QCOM,BUY,50.04,57.6,54.84,61.29,61.29,target,2,6.401,5.901,,,multi,23.3,7.33,3.2,183.0,6.0,1,,,False,False,20.17,1,0.31,-0.916,2019
