ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
SPGI,2017-04-20,2017-04-21,2017-05-11,121.3914,126.398,4.1243,3.6243,time,14,4.6626,-0.3867,1.2479,61.61,25.27,0.967
MS,2017-04-25,2017-04-26,2017-05-02,33.8766,33.3983,-1.412,-1.912,time_loss,4,1.5622,-2.208,2.3575,59.58,27.61,0.8757
WDC,2017-05-30,2017-05-31,2017-06-06,62.2789,61.0104,-2.0368,-2.5368,time_loss,4,0.7515,-2.8646,2.2827,63.78,26.48,0.9812
VRSN,2017-06-01,2017-06-02,2017-06-09,90.8616,90.9503,0.0976,-0.4024,time_loss,5,1.6696,-1.2034,1.3387,63.75,31.7,0.9995
GLW,2017-06-02,2017-06-05,2017-06-09,23.6081,23.0107,-2.5305,-3.0305,stop,4,0.2349,-3.8591,1.3954,64.4,27.91,0.9816
ON,2017-06-05,2017-06-06,2017-06-09,16.05,15.8238,-1.409,-1.909,stop,3,5.4829,-2.1807,2.5149,64.87,27.78,0.9889
TER,2017-07-14,2017-07-17,2017-07-27,32.4633,32.4623,-0.0032,-0.5032,stop,8,8.4117,-2.9412,2.4756,61.65,27.52,0.8536
GLW,2017-07-14,2017-07-17,2017-07-26,24.7093,24.7128,0.0142,-0.4858,stop,7,3.142,-3.7832,1.4554,64.67,26.15,0.9899
AMAT,2017-07-14,2017-07-17,2017-07-27,41.9151,41.7699,-0.3463,-0.8463,time_loss,8,3.0087,-1.9481,2.5219,63.58,26.38,0.9226
SPGI,2017-07-19,2017-07-20,2017-07-27,138.7647,145.8281,5.0902,4.5902,target,5,5.335,-0.0798,1.2737,63.74,45.78,0.9952
CTSH,2017-08-14,2017-08-15,2017-08-18,63.0882,61.2306,-2.9445,-3.4445,stop,3,0.2922,-2.9661,1.4604,64.12,26.52,0.9989
AMT,2017-08-22,2017-08-23,2017-09-12,112.3287,114.0586,1.54,1.04,stop,13,4.7327,-0.1972,1.3122,64.65,31.96,0.9961
TMO,2017-08-29,2017-08-30,2017-09-07,176.7311,185.9098,5.1936,4.6936,target,5,5.5147,-0.2984,1.3016,63.54,27.18,0.9468
FDX,2017-08-29,2017-08-30,2017-09-06,147.7935,147.6055,-0.1272,-0.6272,time_loss,4,2.135,-0.2922,1.3536,56.55,26.09,0.8617
VRTX,2017-08-31,2017-09-01,2017-09-08,160.76,158.83,-1.2005,-1.7005,time_loss,4,1.7915,-3.2595,2.8054,62.81,26.4,0.9241
PLD,2017-08-31,2017-09-01,2017-09-22,49.7267,50.2614,1.0753,0.5753,time,14,3.8688,-0.5833,1.4277,64.58,25.98,0.9883
SWK,2017-08-31,2017-09-01,2017-09-22,112.9137,118.1566,4.6433,4.1433,time,14,5.4806,-2.3113,1.4025,63.43,27.43,0.9034
IT,2017-09-08,2017-09-11,2017-09-15,125.0,121.7535,-2.5972,-3.0972,stop,4,0.944,-3.888,1.4357,62.77,25.93,0.8758
ALGN,2017-09-08,2017-09-11,2017-09-15,185.61,184.5,-0.598,-1.098,time_loss,4,0.264,-2.2197,2.2332,64.32,28.82,0.9944
ALL,2017-09-13,2017-09-14,2017-09-21,74.4808,74.3824,-0.1322,-0.6322,time_loss,5,1.6852,-0.7049,1.8217,51.27,25.63,0.8669
PGR,2017-09-29,2017-10-02,2017-10-18,37.3565,36.9424,-1.1083,-1.6083,stop,12,2.8105,-1.0333,1.599,61.82,25.43,0.9688
CNP,2017-10-13,2017-10-16,2017-11-03,22.472,21.9092,-2.5046,-3.0046,stop,14,2.0506,-3.6227,1.3357,51.01,26.42,0.8842
UNP,2017-10-27,2017-10-30,2017-11-03,96.5239,96.7055,0.1881,-0.3119,time_loss,4,1.4877,-1.3851,1.8206,63.83,25.6,0.924
URI,2017-11-20,2017-11-21,2017-12-01,146.6754,147.1404,0.3171,-0.1829,stop,7,6.0815,-0.526,2.2261,63.9,32.25,0.9794
MCO,2017-11-20,2017-11-21,2017-12-12,138.1697,141.4802,2.396,1.896,time,14,3.2617,-0.7987,1.5868,64.68,25.25,0.9957
SHW,2017-11-30,2017-12-01,2017-12-14,123.5586,123.0128,-0.4417,-0.9417,stop,9,3.5235,-2.1581,1.2929,63.16,29.18,0.9798
MSFT,2017-12-12,2017-12-13,2017-12-19,78.5076,78.59,0.105,-0.395,time_loss,4,2.0527,-1.4112,1.5385,63.18,29.83,0.9815
MSI,2017-12-18,2017-12-19,2017-12-21,84.5445,82.0103,-2.9974,-3.4974,stop,2,0.6336,-3.5269,1.661,61.24,26.81,0.9902
IT,2018-01-03,2018-01-04,2018-01-17,125.28,132.0387,5.3949,4.8949,target,8,6.2101,0.0,1.3497,62.55,25.81,0.8782
ISRG,2018-01-04,2018-01-05,2018-01-10,126.96,138.0329,8.7216,8.2216,target,3,12.1035,-1.3337,2.2033,52.03,27.99,0.8564
