ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
CAT,2014-02-07,2014-02-10,2014-03-03,69.9524,70.9394,1.411,0.911,time,14,3.4432,-1.411,1.9476,63.06,25.72,0.9787
DIS,2014-02-11,2014-02-12,2014-03-05,69.8274,74.341,6.4641,5.9641,time,14,7.1465,-0.5923,2.0595,64.34,25.27,0.9948
UNP,2014-02-11,2014-02-12,2014-02-19,67.5163,66.7496,-1.1355,-1.6355,time_loss,4,1.4617,-1.3041,1.6194,63.69,36.62,0.9776
CMCSA,2014-02-11,2014-02-12,2014-02-13,19.3755,18.6867,-3.555,-4.055,stop,1,0.0905,-4.4541,1.9845,62.8,36.98,0.9971
HAL,2014-04-17,2014-04-21,2014-04-28,48.9425,49.4415,1.0196,0.5196,stop,5,5.8011,-0.1137,2.0446,64.68,28.96,0.9777
LLY,2014-04-21,2014-04-22,2014-04-24,48.6902,46.4961,-4.5063,-5.0063,stop,2,0.2952,-5.9374,1.8741,64.91,34.26,0.9979
MRK,2014-04-29,2014-04-30,2014-05-06,38.2291,37.3143,-2.3928,-2.8928,time_loss,4,2.2731,-2.5124,1.9744,64.48,28.0,0.9911
EOG,2014-05-29,2014-05-30,2014-06-16,76.1688,82.0803,7.7611,7.2611,target,11,8.4125,-1.2421,1.933,64.27,27.75,0.9991
CMCSA,2014-07-14,2014-07-15,2014-07-21,19.4142,18.9648,-2.3149,-2.8149,stop,4,1.2213,-2.479,1.2625,64.64,30.1,0.9866
DIS,2014-08-15,2014-08-18,2014-08-29,80.6171,80.8149,0.2454,-0.2546,time_loss,9,1.6507,-0.368,1.2927,64.43,28.83,0.9936
MRK,2014-08-25,2014-08-26,2014-09-02,39.2809,39.3598,0.2011,-0.2989,time_loss,4,1.525,-0.0168,1.3241,63.38,25.15,0.9914
INTU,2014-09-29,2014-09-30,2014-10-02,79.3477,76.8447,-3.1545,-3.6545,stop,2,1.4975,-4.7554,1.7412,63.58,30.22,0.9923
ROST,2014-10-20,2014-10-21,2014-11-10,34.3587,36.7233,6.8822,6.3822,time,14,6.9731,0.0,1.8333,62.58,36.08,0.8603
TJX,2014-12-18,2014-12-19,2015-01-05,28.7328,28.6901,-0.1486,-0.6486,time_loss,9,3.7741,-2.7192,1.9223,63.83,29.73,0.9987
ROP,2015-02-05,2015-02-06,2015-02-27,152.0819,156.5379,2.93,2.43,time,14,4.2015,-1.3513,2.0481,64.77,31.53,0.9884
SHW,2015-02-12,2015-02-13,2015-03-06,84.7027,85.9324,1.4518,0.9518,time,14,3.0633,-0.1802,1.7633,64.26,27.82,0.9984
PHM,2015-02-24,2015-02-25,2015-03-03,20.1655,19.1841,-4.8666,-5.3666,stop,4,0.3869,-7.8676,2.7288,63.39,26.98,0.9825
KEY,2015-03-12,2015-03-13,2015-03-19,9.3407,9.2383,-1.0966,-1.5966,time_loss,4,1.0281,-2.0562,1.9169,64.44,25.81,0.9937
ROP,2015-03-30,2015-03-31,2015-04-07,161.6197,159.6954,-1.1907,-1.6907,time_loss,4,0.341,-2.364,1.4289,64.92,42.17,0.9965
V,2015-11-05,2015-11-06,2015-11-12,73.7474,72.71,-1.4067,-1.9067,time_loss,4,1.0358,-2.8654,2.0823,63.15,25.04,0.9772
KO,2015-12-04,2015-12-07,2015-12-11,31.2118,30.4108,-2.5662,-3.0662,stop,4,0.3002,-2.7014,1.4113,61.14,25.58,0.97
MRK,2016-06-23,2016-06-24,2016-07-08,39.3473,41.6583,5.8732,5.3732,target,9,6.2991,-1.6774,1.4266,62.65,30.71,0.9726
CME,2016-07-12,2016-07-13,2016-08-02,67.8544,70.2343,3.5074,3.0074,time,14,3.6477,-0.5612,1.5468,64.56,25.6,0.9774
WDAY,2016-09-30,2016-10-03,2016-10-07,91.56,91.04,-0.5679,-1.0679,time_loss,4,1.5727,-1.5509,1.9945,64.84,25.88,0.9829
XYL,2016-11-09,2016-11-10,2016-11-25,45.5091,46.818,2.8762,2.3762,stop,10,7.6125,-0.0391,2.0999,62.13,25.29,0.8894
MRK,2016-11-09,2016-11-10,2016-11-16,45.6477,44.2968,-2.9594,-3.4594,time_loss,4,1.4255,-3.2383,2.1971,64.16,26.57,0.9549
NFLX,2017-01-04,2017-01-05,2017-01-12,12.922,12.918,-0.031,-0.531,time_loss,5,3.6062,-0.5572,2.3451,64.61,26.57,0.9849
SLB,2017-01-18,2017-01-19,2017-01-23,66.4786,64.6947,-2.6834,-3.1834,stop,2,0.9075,-3.6186,1.4704,63.42,25.0,0.998
GM,2017-01-25,2017-01-26,2017-01-30,32.0084,30.7779,-3.8444,-4.3444,stop,2,0.3937,-5.1706,2.1317,64.28,35.57,0.9923
ROP,2017-01-25,2017-01-26,2017-02-01,180.7748,181.1061,0.1833,-0.3167,time_loss,4,0.911,-1.3874,1.3536,64.0,28.56,0.9912
SPGI,2017-04-20,2017-04-21,2017-05-11,121.3914,126.398,4.1243,3.6243,time,14,4.6626,-0.3867,1.2479,61.61,25.27,0.967
SPGI,2017-07-19,2017-07-20,2017-07-27,138.7647,145.8281,5.0902,4.5902,target,5,5.335,-0.0798,1.2737,63.74,45.78,0.9952
CTSH,2017-08-14,2017-08-15,2017-08-18,63.0882,61.2306,-2.9445,-3.4445,stop,3,0.2922,-2.9661,1.4604,64.12,26.52,0.9989
UNP,2017-10-27,2017-10-30,2017-11-03,96.5239,96.7055,0.1881,-0.3119,time_loss,4,1.4877,-1.3851,1.8206,63.83,25.6,0.924
MCO,2017-11-20,2017-11-21,2017-12-12,138.1697,141.4802,2.396,1.896,time,14,3.2617,-0.7987,1.5868,64.68,25.25,0.9957
SHW,2017-11-30,2017-12-01,2017-12-14,123.5586,123.0128,-0.4417,-0.9417,stop,9,3.5235,-2.1581,1.2929,63.16,29.18,0.9798
MSFT,2017-12-12,2017-12-13,2017-12-19,78.5076,78.59,0.105,-0.395,time_loss,4,2.0527,-1.4112,1.5385,63.18,29.83,0.9815
MSI,2017-12-18,2017-12-19,2017-12-21,84.5445,82.0103,-2.9974,-3.4974,stop,2,0.6336,-3.5269,1.661,61.24,26.81,0.9902
SPGI,2018-02-14,2018-02-15,2018-02-22,173.7945,174.3048,0.2936,-0.2064,time_loss,4,2.0929,-1.3828,2.9817,58.92,27.04,0.9941
INTU,2018-02-16,2018-02-20,2018-02-27,161.345,160.7317,-0.3801,-0.8801,time_loss,5,3.807,-3.5965,2.5275,63.03,32.32,0.978
MCO,2018-02-16,2018-02-20,2018-02-28,155.6795,155.1588,-0.3345,-0.8345,time_loss,6,2.5143,-0.657,2.6518,64.15,26.23,0.986
DE,2018-02-20,2018-02-21,2018-02-27,145.8467,144.767,-0.7403,-1.2403,time_loss,4,2.1299,-1.7172,3.1853,52.56,34.98,0.8513
UNP,2018-02-26,2018-02-27,2018-02-28,115.4097,109.9574,-4.7243,-5.2243,stop,1,0.6072,-5.964,2.6503,60.06,35.02,0.9012
SHW,2018-03-09,2018-03-12,2018-03-16,130.3623,126.6558,-2.8432,-3.3432,time_loss,4,0.0546,-3.3967,2.3022,62.17,29.06,0.9007
ABT,2018-05-11,2018-05-14,2018-05-22,53.3424,53.247,-0.1788,-0.6788,time_loss,6,1.6098,-1.9187,1.981,60.75,26.83,0.8638
RF,2018-08-17,2018-08-20,2018-08-24,14.0992,13.9759,-0.8749,-1.3749,time_loss,4,1.4411,-1.0808,1.7934,64.37,25.21,0.914
CSCO,2018-11-07,2018-11-08,2018-11-12,38.421,36.7346,-4.3893,-4.8893,stop,2,1.1907,-4.8673,2.4519,61.21,27.72,0.9248
